name	charge	inchikey
Glycerate	-1	RBNPOMFGQQGHHO-UWTATZPHSA-N
NAD+	-2	BAWFJGJZGIEFAR-NNYOXOHSSA-N
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-L
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
Glycerate	-1	RBNPOMFGQQGHHO-UWTATZPHSA-N
Glucono-delta-lactone-6-phosphate	-2	IJOJIVNDFQSGAB-SQOUGZDYSA-N
6-Phospho-D-gluconate	-3	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
3-Deoxy-D-arabino-heptulosonate-7-phosphate	-3	PJWIPEXIFFQAQZ-PUFIMZNGSA-N
3-Dehydroquinate	-1	WVMWZWGZRAXUBK-SYTVJDICSA-M
3-Dehydroshikimate	-1	SLWWJZMPHJJOPH-PHDIDXHHSA-N
Shikimate	-1	JXOHGGNKMLTUBP-HSUXUTPPSA-N
Shikimate 3-phosphate	-3	QYOJSKGCWNAKGW-PBXRRBTRSA-N
5-Enolpyruvyl-shikimate-3-phosphate	-4	QUTYKIXIUDQOLK-PRJMDXOYSA-J
Chorismate	-2	WTFXTQVDAKGDEY-HTQZYQBOSA-N
5-Phosphoribosyl 1-pyrophosphate	-5	PQGCEDQWHSBAJP-TXICZTDVSA-N
Adenosine 5-phosphate	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-L
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-L
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
NADPH	-4	ACFIXJIJDZMPPO-NNYOXOHSSA-N
NADP+	-4	XJLXINKUBYWONI-NNYOXOHSSA-O
Acetyl-Coenzyme A	-3	ZSLZBFCDCINBPY-KMYLAXNMSA-N
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-K
Coenzyme A	-3	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
Acetyl-Coenzyme A	-4	ZSLZBFCDCINBPY-KMYLAXNMSA-N
